Team_Abbr,query_year,query_month,G,GS,SV,IP,H,R,ER,BB,SO,HR,HBP,AB,IBB,GDP,ERA,SO9,BB9
TEX,2017,6,75.0,1.0,4.0,84.66,96.0,50.0,43.0,42.0,89.0,14.0,7.0,337.0,1.0,8.0,4.571226080793764,9.461374911410347,4.4649184975194895
TOR,2017,6,85.0,0.0,8.0,86.67,68.0,40.0,35.0,30.0,99.0,10.0,1.0,318.0,5.0,6.0,3.634475597092419,10.280373831775702,3.115264797507788
WAS,2017,6,77.0,0.0,4.0,80.0,83.0,50.0,49.0,29.0,72.0,14.0,4.0,309.0,3.0,11.0,5.5125,8.1,3.2624999999999997
ARI,2017,7,68.0,0.0,2.0,67.97999999999999,74.0,31.0,29.0,22.0,62.0,9.0,1.0,274.0,4.0,3.0,3.83936451897617,8.208296557811122,2.9126213592233015
ATH,2017,7,59.0,0.0,2.0,55.33,56.0,31.0,28.0,28.0,62.0,9.0,3.0,212.0,0.0,6.0,4.554491234411712,10.084944876197362,4.554491234411712
ATL,2017,7,87.0,0.0,6.0,81.99,96.0,61.0,58.0,41.0,81.0,14.0,2.0,331.0,3.0,4.0,6.366630076838639,8.891328210757411,4.500548847420418
BAL,2017,7,79.0,0.0,4.0,90.0,78.0,35.0,32.0,19.0,81.0,12.0,3.0,336.0,0.0,9.0,3.2,8.1,1.9
BOS,2017,7,69.0,0.0,3.0,81.66,67.0,30.0,28.0,26.0,87.0,10.0,4.0,295.0,2.0,10.0,3.085966201322557,9.588537839823658,2.8655400440852317
CHC,2017,7,76.0,0.0,6.0,76.0,51.0,28.0,27.0,45.0,81.0,5.0,2.0,266.0,2.0,11.0,3.1973684210526314,9.592105263157896,5.328947368421052
CHW,2017,7,49.0,0.0,,50.0,60.0,34.0,32.0,25.0,39.0,14.0,7.0,199.0,3.0,7.0,5.76,7.0200000000000005,4.5
CIN,2017,7,76.0,0.0,3.0,90.99,83.0,52.0,49.0,36.0,106.0,19.0,4.0,343.0,2.0,7.0,4.8466864490603365,10.484668644906035,3.560830860534125
CLE,2017,7,75.0,0.0,5.0,77.35000000000001,75.0,34.0,29.0,25.0,69.0,8.0,4.0,294.0,3.0,11.0,3.3742727860374915,8.028442146089205,2.90885585003232
COL,2017,7,65.0,0.0,7.0,68.0,86.0,41.0,38.0,32.0,54.0,13.0,3.0,272.0,1.0,13.0,5.029411764705882,7.147058823529411,4.235294117647059
DET,2017,7,79.0,0.0,6.0,82.69,79.0,51.0,51.0,41.0,70.0,12.0,7.0,312.0,3.0,10.0,5.55085258193252,7.618817269319144,4.462450114886927
HOU,2017,7,81.0,3.0,5.0,94.0,101.0,64.0,64.0,33.0,105.0,20.0,2.0,371.0,1.0,7.0,6.127659574468085,10.053191489361701,3.1595744680851063
KCR,2017,7,90.0,0.0,6.0,90.34,69.0,26.0,21.0,34.0,74.0,4.0,3.0,328.0,3.0,10.0,2.0920965242417533,7.372149656851892,3.38720389639141
LAA,2017,7,67.0,1.0,5.0,73.33,74.0,43.0,42.0,30.0,64.0,11.0,0.0,276.0,2.0,7.0,5.154779762716487,7.8549024955679805,3.6819855447974907
LAD,2017,7,74.0,1.0,10.0,81.66,60.0,26.0,21.0,18.0,77.0,8.0,1.0,301.0,3.0,5.0,2.314474650991918,8.486407053637032,1.9838354151359296
MIA,2017,7,76.0,1.0,,79.66,78.0,42.0,42.0,42.0,68.0,8.0,9.0,300.0,2.0,9.0,4.745166959578207,7.682651267888527,4.745166959578207
MIL,2017,7,87.0,1.0,6.0,94.01,102.0,56.0,55.0,41.0,114.0,19.0,6.0,373.0,6.0,8.0,5.26539729815977,10.91373258164025,3.9251143495372833
