#,Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,top100,top20,Top50_Indicator
151,2018,Tom Murphy,COL,37,96,2,5,11,0,0.031,0.458,0.161,0.404,0.226,0.25,0.387,0.268,0.216,51.0,-0.3,-6.1,1.3,-0.2,,,0
152,2018,Boog Powell,OAK,7,25,0,3,0,1,0.04,0.24,0.125,0.222,0.167,0.2,0.292,0.211,0.234,31.0,0.0,-2.1,-0.7,-0.2,,,0
153,2018,Braxton Lee,MIA,8,18,0,0,2,0,0.056,0.444,0.0,0.333,0.176,0.222,0.176,0.185,0.185,14.0,-0.8,-2.6,0.2,-0.2,,,0
154,2018,Sherman Johnson,LAA,10,11,0,0,0,0,0.0,0.364,0.0,0.0,0.0,0.091,0.0,0.065,0.121,-72.0,0.0,-2.3,0.0,-0.2,,,0
155,2018,Ramón Torres,KCR,9,29,0,4,1,0,0.034,0.103,0.036,0.2,0.179,0.207,0.214,0.188,0.236,9.0,0.0,-3.1,0.2,-0.2,,,0
156,2018,Sam Travis,BOS,19,38,1,5,7,0,0.053,0.263,0.167,0.28,0.222,0.263,0.389,0.281,0.242,70.0,0.1,-1.3,-2.0,-0.2,,,0
157,2018,Austin Dean,MIA,34,122,4,16,14,1,0.057,0.18,0.142,0.241,0.221,0.279,0.363,0.281,0.309,79.0,0.6,-2.6,-3.3,-0.2,,,0
158,2018,Adolis García,STL,21,17,0,3,1,0,0.0,0.412,0.059,0.2,0.118,0.118,0.176,0.125,0.097,-28.0,-0.1,-2.8,0.0,-0.2,,,0
159,2018,Victor Caratini,CHC,76,200,2,21,21,0,0.06,0.21,0.072,0.29,0.232,0.293,0.304,0.268,0.284,65.0,0.1,-8.5,0.0,-0.2,,,0
160,2018,Francisco Arcia,LAA,41,106,6,10,23,1,0.009,0.255,0.223,0.214,0.204,0.226,0.427,0.277,0.233,73.0,0.0,-3.5,-2.6,-0.3,,,0
161,2018,Eric Haase,CLE,9,17,0,0,1,0,0.0,0.353,0.0,0.2,0.125,0.176,0.125,0.146,0.16,-20.0,0.0,-2.5,-0.6,-0.3,,,0
162,2018,Mike Marjama,SEA,10,29,0,1,0,0,0.069,0.207,0.111,0.143,0.111,0.172,0.222,0.177,0.232,7.0,-0.5,-3.7,0.2,-0.3,,,0
163,2018,Javy Guerra,SDP,13,19,0,2,1,0,0.158,0.474,0.0,0.286,0.125,0.263,0.125,0.201,0.174,23.0,0.2,-1.6,-1.6,-0.3,,,0
164,2018,Rosell Herrera,2 Tms,86,302,1,25,20,3,0.063,0.189,0.083,0.288,0.234,0.286,0.317,0.266,0.283,62.0,0.1,-13.5,0.6,-0.3,,,0
165,2018,Tomás Nido,NYM,34,90,1,10,9,0,0.044,0.3,0.071,0.224,0.167,0.2,0.238,0.193,0.213,19.0,0.2,-8.7,3.2,-0.3,,,0
166,2018,Chris Shaw,SFG,22,62,1,2,7,1,0.113,0.371,0.093,0.29,0.185,0.274,0.278,0.25,0.232,56.0,0.0,-3.3,-1.3,-0.3,,,0
167,2018,Anthony Santander,BAL,33,108,1,8,6,1,0.056,0.194,0.099,0.241,0.198,0.25,0.297,0.242,0.266,48.0,0.5,-6.2,-0.4,-0.3,,,0
168,2018,Gift Ngoepe,TOR,13,19,0,2,0,0,0.053,0.632,0.0,0.167,0.056,0.105,0.056,0.083,0.194,-61.0,0.0,-3.7,-0.1,-0.3,,,0
169,2018,Ronny Rodríguez,DET,62,206,5,17,20,2,0.049,0.204,0.115,0.253,0.22,0.256,0.335,0.257,0.259,57.0,0.2,-10.5,0.3,-0.3,,,0
170,2018,Drew Robinson,TEX,47,125,3,20,9,2,0.128,0.456,0.11,0.347,0.183,0.288,0.294,0.265,0.268,55.0,0.4,-6.3,-1.3,-0.3,,,0
171,2018,Taylor Ward,LAA,40,147,6,14,15,2,0.061,0.306,0.156,0.214,0.178,0.245,0.333,0.255,0.277,58.0,0.5,-6.9,-1.6,-0.4,,,0
172,2018,Chance Sisco,BAL,63,184,2,13,16,1,0.071,0.359,0.088,0.293,0.181,0.288,0.269,0.259,0.274,60.0,-0.7,-9.6,-0.2,-0.4,1.0,,0
173,2018,Brandon Dixon,CIN,74,124,5,14,10,0,0.048,0.347,0.178,0.229,0.178,0.218,0.356,0.247,0.263,48.0,0.1,-7.8,0.4,-0.4,,,0
174,2018,Sócrates Brito,ARI,24,44,1,3,3,0,0.068,0.205,0.075,0.194,0.175,0.227,0.25,0.213,0.306,27.0,-1.2,-5.2,0.2,-0.4,,,0
175,2018,Mike Tauchman,COL,21,37,0,5,0,1,0.108,0.405,0.031,0.176,0.094,0.194,0.125,0.16,0.195,-21.0,0.3,-5.1,0.0,-0.4,,,0
176,2018,Jesmuel Valentín,PHI,46,89,1,8,6,0,0.09,0.27,0.127,0.236,0.177,0.258,0.304,0.25,0.246,53.0,0.0,-5.1,-1.8,-0.4,,,0
177,2018,Kyle Tucker,HOU,28,72,0,10,4,1,0.083,0.181,0.063,0.176,0.141,0.236,0.203,0.207,0.324,28.0,0.2,-5.9,-0.7,-0.4,1.0,1.0,1
178,2018,Ryan Cordell,CHW,19,40,1,3,4,0,0.0,0.375,0.108,0.13,0.108,0.125,0.216,0.144,0.232,-17.0,0.0,-5.7,-0.2,-0.5,,,0
179,2018,Charles Tilson,CHW,41,121,0,7,11,2,0.083,0.165,0.028,0.322,0.264,0.331,0.292,0.282,0.266,77.0,-0.2,-3.6,-5.1,-0.5,,,0
180,2018,Carson Kelly,STL,19,42,0,1,3,0,0.071,0.167,0.0,0.143,0.114,0.205,0.114,0.162,0.256,-3.0,-0.2,-5.5,-0.7,-0.5,1.0,,0
181,2018,Dawel Lugo,DET,27,101,1,10,8,0,0.069,0.198,0.096,0.26,0.213,0.267,0.309,0.255,0.25,55.0,-0.3,-5.8,-2.6,-0.5,,,0
182,2018,Carlos Tocci,TEX,66,135,0,11,5,0,0.052,0.289,0.058,0.329,0.225,0.271,0.283,0.246,0.215,42.0,-1.3,-10.6,1.0,-0.5,,,0
183,2018,Pedro Severino,WSN,70,213,2,14,15,1,0.085,0.221,0.079,0.211,0.168,0.254,0.247,0.221,0.248,32.0,0.4,-17.3,5.6,-0.5,,,0
184,2018,Dustin Fowler,OAK,69,203,6,19,23,6,0.039,0.232,0.13,0.262,0.224,0.256,0.354,0.263,0.305,67.0,-1.1,-9.2,-3.1,-0.5,,,0
185,2018,J.D. Davis,HOU,42,113,1,9,5,0,0.088,0.257,0.049,0.233,0.175,0.248,0.223,0.218,0.3,36.0,0.0,-8.7,-0.7,-0.6,,,0
186,2018,Kevin Kramer,PIT,21,40,0,5,4,0,0.05,0.5,0.0,0.278,0.135,0.175,0.135,0.144,0.189,-17.0,0.1,-5.6,-1.2,-0.6,,,0
187,2018,Stevie Wilkerson,BAL,16,49,0,2,3,1,0.061,0.327,0.065,0.267,0.174,0.224,0.239,0.208,0.186,25.0,-0.4,-4.7,-2.6,-0.6,,,0
188,2018,Willie Calhoun,TEX,35,108,2,8,11,0,0.056,0.222,0.111,0.267,0.222,0.269,0.333,0.262,0.253,53.0,-0.3,-6.3,-3.4,-0.6,1.0,,1
189,2018,Mike Gerber,DET,18,47,0,2,2,0,0.085,0.447,0.024,0.182,0.095,0.17,0.119,0.141,0.184,-22.0,-0.8,-7.7,-0.7,-0.7,,,0
190,2018,Scott Kingery,PHI,147,484,8,55,35,10,0.05,0.26,0.113,0.291,0.226,0.267,0.338,0.263,0.272,61.0,0.4,-22.6,1.0,-0.7,1.0,,1
191,2018,Kevin Newman,PIT,31,97,0,7,6,0,0.041,0.237,0.022,0.275,0.209,0.247,0.231,0.211,0.228,27.0,-0.9,-9.5,-2.4,-0.9,1.0,,0
192,2018,Hunter Dozier,KCR,102,388,11,36,34,2,0.062,0.281,0.166,0.296,0.229,0.278,0.395,0.291,0.304,79.0,-0.5,-10.2,-12.1,-0.9,,,0
193,2018,Magneuris Sierra,MIA,54,156,0,10,7,3,0.038,0.25,0.02,0.259,0.19,0.222,0.211,0.192,0.203,19.0,1.0,-14.5,-0.1,-1.0,,,0
194,2018,Noel Cuevas,COL,75,153,2,16,10,1,0.039,0.157,0.082,0.267,0.233,0.268,0.315,0.254,0.245,41.0,-1.5,-12.5,-3.2,-1.1,,,0
195,2018,Francisco Peña,STL,58,142,2,10,8,1,0.042,0.303,0.068,0.278,0.203,0.239,0.271,0.215,0.207,33.0,-0.2,-11.9,-3.6,-1.1,,,0
196,2018,Lewis Brinson,MIA,109,406,11,31,42,2,0.042,0.296,0.139,0.257,0.199,0.24,0.338,0.248,0.29,56.0,0.6,-21.0,-3.7,-1.3,1.0,1.0,1
197,2018,Victor Reyes,DET,100,219,1,35,12,9,0.023,0.21,0.066,0.277,0.222,0.239,0.288,0.229,0.261,37.0,1.0,-15.5,-5.0,-1.3,,,0
1,2019,Pete Alonso,NYM,161,693,53,103,120,1,0.104,0.264,0.323,0.28,0.26,0.358,0.583,0.384,0.38,144.0,0.6,40.7,-14.5,4.7,1.0,,1
2,2019,Yordan Alvarez,HOU,87,369,27,58,78,0,0.141,0.255,0.342,0.366,0.313,0.412,0.655,0.432,0.408,177.0,-1.0,35.1,-9.3,3.8,1.0,,1
3,2019,Victor Robles,WSN,155,617,17,86,65,28,0.057,0.227,0.165,0.31,0.255,0.326,0.419,0.317,0.294,92.0,4.2,-2.4,20.7,3.7,1.0,1.0,1
4,2019,Bryan Reynolds,PIT,134,546,16,83,68,3,0.084,0.222,0.189,0.387,0.314,0.377,0.503,0.371,0.359,130.0,-0.8,20.8,-0.3,3.7,,,0
5,2019,Tommy Edman,STL,92,349,11,59,36,15,0.046,0.175,0.196,0.346,0.304,0.35,0.5,0.357,0.331,124.0,6.1,17.0,8.8,3.6,,,0
6,2019,Mike Tauchman,NYY,87,296,13,46,47,6,0.115,0.24,0.227,0.333,0.277,0.361,0.504,0.364,0.322,128.0,2.5,13.3,7.6,3.1,,,0
7,2019,Christian Walker,ARI,152,603,29,86,73,8,0.111,0.257,0.217,0.312,0.259,0.348,0.476,0.346,0.364,111.0,0.6,9.4,2.7,3.0,,,0
8,2019,Fernando Tatis Jr.,SDP,84,372,22,61,53,16,0.081,0.296,0.272,0.41,0.317,0.379,0.59,0.398,0.347,151.0,2.3,27.1,-8.4,3.0,1.0,1.0,1
9,2019,Cavan Biggio,TOR,100,430,16,66,48,14,0.165,0.286,0.195,0.309,0.234,0.364,0.429,0.343,0.346,115.0,2.8,10.9,0.7,2.6,,,0
10,2019,Mike Yastrzemski,SFG,107,411,21,64,55,2,0.078,0.26,0.245,0.325,0.272,0.334,0.518,0.353,0.342,120.0,0.5,11.5,0.7,2.5,,,0
11,2019,Carson Kelly,ARI,111,365,18,46,47,0,0.132,0.216,0.232,0.271,0.245,0.348,0.478,0.339,0.34,107.0,-0.8,2.6,9.4,2.3,1.0,,0
12,2019,Keston Hiura,MIL,84,348,19,51,49,9,0.072,0.307,0.268,0.402,0.303,0.368,0.57,0.388,0.352,139.0,-1.2,16.6,-4.8,2.2,1.0,1.0,1
13,2019,Óscar Mercado,CLE,115,482,15,70,54,15,0.058,0.174,0.174,0.3,0.269,0.318,0.443,0.321,0.308,98.0,2.8,1.8,3.4,2.2,,,0
14,2019,Kevin Newman,PIT,130,531,12,61,64,16,0.053,0.117,0.138,0.333,0.308,0.353,0.446,0.339,0.303,109.0,0.4,6.9,-1.5,2.2,1.0,,0
15,2019,Alex Verdugo,LAD,106,377,12,43,44,4,0.069,0.13,0.181,0.309,0.294,0.342,0.475,0.341,0.339,112.0,0.9,7.1,2.6,2.1,1.0,,1
16,2019,Brandon Lowe,TBR,82,327,17,42,51,5,0.076,0.346,0.243,0.377,0.27,0.336,0.514,0.354,0.34,127.0,1.4,12.6,-4.5,1.9,,,1
17,2019,Will Smith,LAD,54,196,15,30,42,2,0.092,0.265,0.318,0.264,0.253,0.337,0.571,0.369,0.32,130.0,0.9,8.7,4.3,1.9,,,0
18,2019,Danny Jansen,TOR,107,384,13,41,43,0,0.081,0.206,0.153,0.23,0.207,0.279,0.36,0.275,0.312,69.0,-0.5,-15.8,20.6,1.8,1.0,,1
19,2019,Luis Arraez,MIN,92,366,4,54,28,2,0.098,0.079,0.104,0.355,0.334,0.399,0.439,0.36,0.334,126.0,1.8,13.7,-8.8,1.8,,,0
20,2019,Jon Berti,MIA,73,287,6,52,24,17,0.084,0.254,0.133,0.36,0.273,0.348,0.406,0.326,0.316,104.0,5.2,6.8,0.8,1.6,,,0
21,2019,Aristides Aquino,CIN,56,225,19,31,47,7,0.071,0.267,0.317,0.266,0.259,0.316,0.576,0.36,0.334,117.0,1.8,6.9,1.8,1.5,,,0
22,2019,Jacob Stallings,PIT,71,210,6,26,13,0,0.076,0.19,0.12,0.303,0.262,0.325,0.382,0.297,0.316,82.0,-0.9,-5.9,14.0,1.4,,,0
23,2019,Bo Bichette,TOR,46,212,11,32,21,4,0.066,0.236,0.26,0.368,0.311,0.358,0.571,0.384,0.337,143.0,-1.6,10.0,-3.1,1.4,1.0,1.0,1
24,2019,Garrett Cooper,MIA,107,421,15,52,50,0,0.078,0.261,0.165,0.357,0.281,0.344,0.446,0.337,0.345,111.0,-1.2,4.7,-3.7,1.4,,,0
25,2019,Reese McGuire,TOR,30,105,5,14,11,0,0.067,0.171,0.227,0.324,0.299,0.346,0.526,0.364,0.293,129.0,-0.4,3.5,5.3,1.2,,,0
26,2019,Eloy Jiménez,CHW,122,504,31,69,79,0,0.06,0.266,0.246,0.308,0.267,0.315,0.513,0.343,0.347,115.0,-0.6,8.9,-16.0,1.1,1.0,1.0,1
27,2019,Austin Nola,SEA,79,267,10,37,31,1,0.086,0.236,0.185,0.325,0.269,0.342,0.454,0.337,0.296,114.0,0.6,5.4,-4.1,1.1,,,0
28,2019,Daniel Vogelbach,SEA,144,558,30,73,76,0,0.165,0.267,0.232,0.232,0.208,0.341,0.439,0.333,0.345,112.0,-1.7,6.5,-16.1,1.0,,,0
29,2019,Myles Straw,HOU,56,128,0,27,7,8,0.148,0.188,0.074,0.345,0.269,0.378,0.343,0.323,0.313,103.0,2.5,3.0,2.8,1.0,,,0
30,2019,Mike Freeman,CLE,75,213,4,27,24,1,0.103,0.286,0.113,0.388,0.277,0.362,0.39,0.327,0.277,103.0,0.1,0.9,1.7,1.0,,,0
31,2019,Mike Ford,NYY,50,163,12,30,25,0,0.104,0.172,0.301,0.243,0.259,0.35,0.559,0.372,0.358,134.0,-0.7,6.5,-2.9,0.9,,,0
32,2019,Michael Chavis,BOS,95,382,18,46,58,2,0.081,0.332,0.19,0.347,0.254,0.322,0.444,0.323,0.302,96.0,-2.1,-4.0,-0.3,0.9,1.0,,0
33,2019,Dylan Moore,SEA,113,282,9,31,28,11,0.089,0.33,0.182,0.29,0.206,0.302,0.389,0.299,0.277,88.0,-0.4,-4.6,3.5,0.9,,,0
34,2019,Tim Locastro,ARI,91,250,1,38,17,17,0.056,0.176,0.09,0.31,0.25,0.357,0.34,0.314,0.295,90.0,3.6,0.4,0.1,0.8,,,0
35,2019,Nick Senzel,CIN,104,414,12,55,42,14,0.072,0.244,0.171,0.319,0.256,0.315,0.427,0.315,0.305,87.0,1.6,-5.3,0.1,0.8,1.0,1.0,1
36,2019,Trent Grisham,MIL,51,183,6,24,24,1,0.109,0.262,0.179,0.286,0.231,0.328,0.41,0.316,0.316,92.0,0.8,-1.2,3.3,0.8,,,0
37,2019,Sam Hilliard,COL,27,87,7,13,13,2,0.103,0.264,0.377,0.298,0.273,0.356,0.649,0.407,0.354,140.0,1.2,5.7,-0.9,0.7,,,0
38,2019,Adam Haseley,PHI,67,242,5,30,26,4,0.058,0.248,0.131,0.344,0.266,0.324,0.396,0.309,0.269,87.0,2.1,-2.1,1.9,0.7,1.0,,0
39,2019,Austin Hays,BAL,21,75,4,12,13,2,0.093,0.173,0.265,0.333,0.309,0.373,0.574,0.393,0.352,146.0,-0.4,4.0,0.2,0.7,1.0,,0
40,2019,Lane Thomas,STL,34,44,4,6,12,1,0.091,0.182,0.368,0.308,0.316,0.409,0.684,0.445,0.383,182.0,0.0,4.8,0.6,0.7,,,0
41,2019,César Puello,2 Tms,44,147,4,14,18,0,0.068,0.259,0.136,0.325,0.248,0.356,0.384,0.325,0.321,103.0,-0.9,-0.6,2.0,0.6,,,0
42,2019,Kyle Tucker,HOU,22,72,4,15,11,5,0.056,0.278,0.269,0.326,0.269,0.319,0.537,0.349,0.344,121.0,1.4,3.3,0.4,0.6,1.0,1.0,1
43,2019,Cam Gallagher,KCR,45,142,3,14,12,0,0.077,0.197,0.127,0.281,0.238,0.312,0.365,0.294,0.257,79.0,-1.8,-5.7,6.9,0.6,,,0
44,2019,Kyle Lewis,SEA,18,75,6,10,13,0,0.04,0.387,0.324,0.351,0.268,0.293,0.592,0.357,0.356,128.0,0.0,2.6,1.0,0.6,1.0,,1
45,2019,Seth Brown,OAK,26,83,0,11,13,1,0.084,0.277,0.16,0.423,0.293,0.361,0.453,0.347,0.302,120.0,-0.1,2.1,1.1,0.6,,,0
46,2019,Luis Rengifo,LAA,108,406,7,44,33,2,0.099,0.229,0.126,0.3,0.238,0.321,0.364,0.298,0.306,83.0,0.7,-8.1,-0.8,0.6,,,0
47,2019,Francisco Mejía,SDP,79,244,8,27,22,1,0.053,0.23,0.173,0.319,0.265,0.316,0.438,0.317,0.276,97.0,-0.7,-1.5,-0.7,0.5,1.0,1.0,1
48,2019,Shed Long Jr.,SEA,42,168,5,21,15,3,0.095,0.238,0.191,0.327,0.263,0.333,0.454,0.333,0.27,112.0,-0.2,2.4,-3.0,0.5,,,0
49,2019,Tim Lopes,SEA,41,128,1,11,12,6,0.117,0.227,0.09,0.354,0.27,0.359,0.36,0.318,0.283,101.0,0.3,0.5,-0.1,0.5,,,0
50,2019,Matt Beaty,LAD,99,268,9,36,46,5,0.063,0.123,0.193,0.275,0.265,0.317,0.458,0.324,0.319,101.0,1.6,1.9,-5.5,0.5,,,0
51,2019,Mike Brosseau,TBR,51,142,6,17,16,1,0.049,0.275,0.189,0.345,0.273,0.319,0.462,0.329,0.269,110.0,0.3,2.1,-2.3,0.5,,,0
52,2019,Terrance Gore,KCR,37,58,0,13,1,13,0.103,0.31,0.078,0.424,0.275,0.362,0.353,0.317,0.248,94.0,0.7,0.3,2.3,0.5,,,0
53,2019,Abraham Toro,HOU,25,89,2,13,9,1,0.101,0.213,0.167,0.259,0.218,0.303,0.385,0.295,0.3,84.0,0.2,-1.7,3.0,0.4,,,0
54,2019,Nico Hoerner,CHC,20,82,3,13,17,0,0.037,0.134,0.154,0.292,0.282,0.305,0.436,0.305,0.315,85.0,0.0,-1.7,3.5,0.4,1.0,,1
55,2019,Tyler Wade,NYY,43,108,2,16,11,7,0.102,0.259,0.117,0.328,0.245,0.33,0.362,0.303,0.269,88.0,2.7,1.0,-0.7,0.4,,,0
56,2019,Sean Murphy,OAK,20,60,4,14,8,0,0.1,0.267,0.321,0.273,0.245,0.333,0.566,0.37,0.344,136.0,0.3,3.1,-1.1,0.4,1.0,,1
57,2019,Mauricio Dubón,2 Tms,30,111,4,12,9,3,0.045,0.18,0.16,0.305,0.274,0.306,0.434,0.312,0.277,94.0,0.0,-0.9,1.5,0.4,,,0
58,2019,Ildemaro Vargas,ARI,92,211,6,25,24,1,0.043,0.114,0.144,0.279,0.269,0.299,0.413,0.3,0.289,81.0,0.7,-4.4,1.8,0.4,,,0
59,2019,Nick Solak,TEX,33,135,5,19,17,2,0.111,0.215,0.198,0.354,0.293,0.393,0.491,0.375,0.339,126.0,0.1,4.7,-5.6,0.4,,,0
60,2019,Edwin Ríos,LAD,28,56,4,10,8,0,0.161,0.375,0.34,0.409,0.277,0.393,0.617,0.413,0.406,160.0,-0.9,3.5,-1.4,0.4,,,0
61,2019,Thairo Estrada,NYY,35,69,3,12,12,4,0.043,0.217,0.188,0.283,0.25,0.294,0.438,0.308,0.301,91.0,1.4,0.6,0.7,0.4,,,0
62,2019,Kyle Higashioka,NYY,18,57,3,8,11,0,0.0,0.456,0.25,0.321,0.214,0.211,0.464,0.27,0.21,65.0,0.3,-2.3,3.5,0.3,,,0
63,2019,Michael Pérez,TBR,22,55,0,6,2,0,0.145,0.345,0.109,0.37,0.217,0.345,0.326,0.303,0.299,92.0,0.3,-0.2,1.4,0.3,,,0
64,2019,Vladimir Guerrero Jr.,TOR,123,514,15,52,69,0,0.089,0.177,0.162,0.308,0.272,0.339,0.433,0.329,0.333,106.0,-2.3,1.3,-16.8,0.3,1.0,1.0,1
65,2019,Gavin Lux,LAD,23,82,2,12,9,2,0.085,0.293,0.16,0.327,0.24,0.305,0.4,0.301,0.343,86.0,0.9,-0.6,1.0,0.3,1.0,,1
66,2019,Ryan Cordell,CHW,97,247,7,22,24,3,0.077,0.279,0.134,0.287,0.221,0.29,0.355,0.279,0.273,71.0,-0.5,-9.5,3.5,0.3,,,0
67,2019,Brandon Dixon,DET,118,420,15,41,52,5,0.05,0.324,0.187,0.336,0.248,0.29,0.435,0.303,0.308,87.0,0.7,-6.5,-5.8,0.3,,,0
68,2019,Alex Blandino,CIN,23,50,1,6,3,0,0.2,0.28,0.111,0.348,0.25,0.42,0.361,0.352,0.338,111.0,0.0,0.8,0.1,0.2,,,0
69,2019,Tyrone Taylor,MIL,15,12,0,1,1,0,0.083,0.083,0.2,0.444,0.4,0.5,0.6,0.465,0.317,190.0,0.1,1.5,0.5,0.2,,,0
70,2019,Randy Arozarena,STL,19,23,1,4,2,2,0.087,0.174,0.2,0.333,0.3,0.391,0.5,0.38,0.312,139.0,-0.2,1.0,0.5,0.2,1.0,,1
71,2019,Kyle Garlick,LAD,30,53,3,8,6,0,0.094,0.358,0.271,0.346,0.25,0.321,0.521,0.342,0.326,113.0,0.1,1.0,-0.6,0.2,,,0
72,2019,Domingo Leyba,ARI,21,30,0,6,5,0,0.133,0.3,0.16,0.412,0.28,0.367,0.44,0.34,0.286,107.0,0.1,0.4,0.5,0.2,,,0
73,2019,Luis Guillorme,NYM,45,70,1,8,3,0,0.1,0.2,0.115,0.304,0.246,0.324,0.361,0.299,0.303,88.0,0.3,-0.8,0.3,0.2,,,0
74,2019,Michael Hermosillo,LAA,18,46,0,7,3,2,0.109,0.413,0.083,0.278,0.139,0.304,0.222,0.254,0.274,53.0,0.9,-1.9,1.9,0.2,,,0
75,2019,Chad Wallach,MIA,19,54,1,4,3,0,0.111,0.222,0.125,0.314,0.25,0.333,0.375,0.309,0.359,93.0,-0.4,-0.9,0.7,0.1,,,0
76,2019,Tyler Heineman,MIA,5,12,1,1,2,0,0.0,0.333,0.364,0.333,0.273,0.273,0.636,0.366,0.228,130.0,0.1,0.6,0.5,0.1,,,0
77,2019,Seth Mejias-Brean,SDP,14,33,2,3,5,0,0.091,0.273,0.267,0.263,0.233,0.303,0.5,0.333,0.294,108.0,0.0,0.3,0.0,0.1,,,0
78,2019,Josh VanMeter,CIN,95,260,8,33,23,9,0.112,0.215,0.171,0.279,0.237,0.327,0.408,0.316,0.325,88.0,0.4,-3.7,-3.2,0.1,,,0
79,2019,Jacob Nottingham,MIL,9,7,1,1,4,0,0.0,0.286,0.5,0.333,0.333,0.429,0.833,0.504,0.238,215.0,0.0,1.1,0.0,0.1,,,0
80,2019,Brian O'Grady,CIN,28,48,2,4,3,0,0.083,0.354,0.238,0.261,0.19,0.292,0.429,0.305,0.309,81.0,0.1,-1.1,0.8,0.1,,,0
81,2019,Danny Mendick,CHW,16,40,2,6,4,0,0.025,0.275,0.154,0.385,0.308,0.325,0.462,0.332,0.257,107.0,-0.9,-0.5,0.2,0.1,,,0
82,2019,Robel García,CHC,31,80,5,8,11,0,0.088,0.438,0.292,0.303,0.208,0.275,0.5,0.315,0.277,92.0,0.4,-0.5,-1.0,0.1,,,0
83,2019,Nathaniel Lowe,TBR,50,169,7,24,19,0,0.077,0.296,0.191,0.34,0.263,0.325,0.454,0.328,0.33,109.0,-0.6,1.4,-6.6,0.1,,,0
84,2019,Kyle Farmer,CIN,97,197,9,22,27,4,0.051,0.299,0.18,0.284,0.23,0.279,0.41,0.289,0.29,70.0,0.7,-7.1,1.6,0.1,,,0
85,2019,Harold Ramírez,MIA,119,446,11,54,50,2,0.04,0.204,0.14,0.328,0.276,0.312,0.416,0.308,0.301,92.0,0.1,-4.5,-9.0,0.1,,,0
86,2019,Scott Heineman,TEX,25,85,2,8,7,1,0.106,0.235,0.16,0.264,0.213,0.306,0.373,0.295,0.282,73.0,-0.3,-3.3,0.9,0.1,,,0
87,2019,Edmundo Sosa,STL,8,10,0,2,0,1,0.1,0.2,0.0,0.333,0.25,0.4,0.25,0.315,0.401,96.0,0.1,0.1,0.1,0.1,,,0
88,2019,Johnny Davis,TBR,8,4,0,5,0,0,0.0,0.5,0.5,0.5,0.25,0.25,0.75,0.382,0.236,146.0,0.2,0.4,0.0,0.0,,,0
89,2019,Luis Torrens,SDP,7,16,0,2,0,0,0.125,0.375,0.071,0.375,0.214,0.313,0.286,0.271,0.303,67.0,0.2,-0.5,0.4,0.0,,,0
90,2019,Austin Riley,ATL,80,297,18,41,49,0,0.054,0.364,0.245,0.293,0.226,0.279,0.471,0.307,0.309,85.0,-1.1,-7.1,-1.9,0.0,1.0,,1
91,2019,Sheldon Neuse,OAK,25,61,0,3,7,0,0.066,0.311,0.054,0.368,0.25,0.295,0.304,0.262,0.296,63.0,-0.2,-3.1,1.2,0.0,,,0
92,2019,Kelvin Gutiérrez,KCR,20,79,1,4,11,1,0.063,0.304,0.096,0.367,0.26,0.304,0.356,0.284,0.253,72.0,0.2,-2.7,0.1,0.0,,,0
93,2019,Breyvic Valera,2 Tms,17,52,1,7,6,0,0.077,0.135,0.149,0.256,0.234,0.308,0.383,0.297,0.274,84.0,-0.5,-1.6,-0.2,0.0,,,0
94,2019,Ryan Court,SEA,12,25,1,1,5,0,0.04,0.44,0.167,0.333,0.208,0.24,0.375,0.258,0.291,61.0,0.1,-1.2,0.4,0.0,,,0
95,2019,Kevin Cron,ARI,39,78,6,12,16,0,0.051,0.359,0.31,0.237,0.211,0.269,0.521,0.321,0.348,95.0,-0.3,-0.8,-1.6,0.0,,,0
96,2019,Beau Taylor,2 Tms,11,30,2,3,2,0,0.133,0.233,0.24,0.125,0.16,0.3,0.4,0.303,0.397,92.0,-0.1,-0.4,-0.7,0.0,,,0
97,2019,Ty France,SDP,69,201,7,20,24,0,0.045,0.244,0.168,0.279,0.234,0.294,0.402,0.296,0.294,84.0,-1.4,-5.7,-0.8,0.0,,,0
98,2019,Erick Mejia,KCR,9,27,0,3,4,0,0.148,0.259,0.045,0.313,0.227,0.333,0.273,0.276,0.205,67.0,-0.2,-1.4,0.3,0.0,,,0
99,2019,Jose Trevino,TEX,40,126,2,18,13,0,0.024,0.214,0.125,0.312,0.258,0.272,0.383,0.274,0.258,59.0,-2.0,-8.7,3.9,0.0,,,0
100,2019,Yu Chang,CLE,28,84,1,8,6,0,0.131,0.262,0.096,0.24,0.178,0.286,0.274,0.254,0.299,53.0,-0.1,-5.1,1.9,0.0,,,0
101,2019,Joe Hudson,STL,1,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-0.3,0.0,0.0,,,0
102,2019,Rangel Ravelo,STL,29,43,2,4,7,0,0.07,0.279,0.205,0.231,0.205,0.256,0.41,0.276,0.35,71.0,-0.2,-1.9,0.3,0.0,,,0
103,2019,Dylan Cozens,PHI,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,-100.0,0.0,-0.3,0.0,0.0,,,0
