mlb_id,fielding_runs,Month,Year,innings,CompDate
518902,-1.0,04,2017,47.0,2017-04-30
519058,-1.0,04,2017,182.16666666666666,2017-04-30
547912,0.0,04,2017,75.5,2017-04-30
592626,-1.0,04,2017,112.77833333333332,2017-04-30
452254,0.0,04,2017,174.55499999999998,2017-04-30
460060,-1.0,04,2017,81.44500000000001,2017-04-30
444482,1.0,04,2017,178.11166666666668,2017-04-30
519203,0.0,04,2017,224.38833333333332,2017-04-30
461865,-1.0,04,2017,125.445,2017-04-30
489267,1.0,04,2017,118.33333333333333,2017-04-30
596143,0.0,04,2017,38.335,2017-04-30
594988,0.0,04,2017,184.05499999999998,2017-04-30
656941,-1.0,04,2017,138.0,2017-04-30
553993,4.0,04,2017,217.55499999999998,2017-04-30
621035,1.0,04,2017,183.66666666666666,2017-04-30
519346,0.0,04,2017,171.22166666666666,2017-04-30
630111,0.0,04,2017,171.165,2017-04-30
458015,1.0,04,2017,231.94500000000002,2017-04-30
455759,-2.0,04,2017,90.75,2017-04-30
475582,3.0,04,2017,193.66666666666666,2017-04-30
547989,3.0,05,2017,199.5,2017-05-31
542979,0.0,05,2017,171.44500000000002,2017-05-31
621439,5.0,05,2017,190.5,2017-05-31
595879,-1.0,05,2017,187.16666666666666,2017-05-31
452678,-2.0,05,2017,168.555,2017-05-31
592206,-3.0,05,2017,211.88833333333332,2017-05-31
594694,-1.0,05,2017,115.445,2017-05-31
571697,1.0,05,2017,156.27833333333334,2017-05-31
543257,0.0,05,2017,119.0,2017-05-31
460576,3.0,05,2017,143.72166666666666,2017-05-31
547180,0.0,05,2017,156.33333333333334,2017-05-31
543281,4.0,05,2017,210.6,2017-05-31
592387,-2.0,05,2017,94.555,2017-05-31
514917,2.0,05,2017,183.38833333333332,2017-05-31
518902,0.0,05,2017,47.0,2017-05-31
571875,1.0,05,2017,210.66666666666666,2017-05-31
596019,2.0,05,2017,229.5,2017-05-31
592518,0.0,05,2017,228.33333333333334,2017-05-31
571918,0.0,05,2017,117.6675,2017-05-31
596059,-1.0,05,2017,227.72166666666666,2017-05-31
605412,-1.0,05,2017,198.5,2017-05-31
467827,0.0,05,2017,172.26600000000002,2017-05-31
502054,-2.0,05,2017,205.334,2017-05-31
608070,0.0,05,2017,219.0,2017-05-31
475253,0.0,05,2017,216.88833333333332,2017-05-31
519306,1.0,05,2017,202.0,2017-05-31
605486,0.0,05,2017,169.0,2017-05-31
543807,0.0,05,2017,186.77833333333334,2017-05-31
605509,0.0,05,2017,75.2,2017-05-31
545361,0.0,05,2017,189.6,2017-05-31
