player_name,retro_id,mlb_id,bref_id,fg_id,Team
Sal Frelick,frels001,686217,frelisa01,29622,
Jacob Amaya,amayj001,676070,amayaja01,23296,
Parker Meadows,meadp001,678009,meadopa01,23800,
Jose Caballero,cabaj001,676609,cabaljo01,23401,
Graham Pauley,paulg001,688363,paulegr01,31363,
Dylan Crews,crewd001,686611,crewsdy01,33541,
Freddy Fermin,fermf002,666023,fermifr01,21840,
Braxton Fulford,fulfb001,690924,fulfobr01,29704,
Ronny Simon,simor002,682927,simonro01,25346,
Trey Sweeney,sweet001,700242,sweentr01,29575,
Maverick Handley,handm001,668974,handlma01,26106,
Ben Williamson,willb004,810938,willibe03,33197,
Matthew Lugo,lugom001,683090,lugoma01,25980,
Daylen Lile,liled001,695734,lileda01,29995,
Yohel Pozo,pozoy001,650968,pozoyo01,18848,
Brenton Doyle,doylb001,686668,doylebr02,25479,
Jordyn Adams,adamj003,677941,adamsjo03,23788,
Nick Pratto,pratn001,668472,prattni01,22117,
Eguy Rosario,rosae002,666703,rosareg01,19964,
Alexander Canario,canaa001,672744,canaral01,22842,
Gabriel Arias,ariag002,672356,ariasga01,22563,
Austin Wells,wella002,669224,wellsau01,27562,
Brett Harris,harrb002,695391,harribr02,29788,
Hector Noesi,noesh001,456051,noesihe01,3292,
James Marvel,marvj001,621086,marveja01,19675,
Ronald Bolanos,bolar001,671790,bolanro01,20041,
John Ryan Murphy,murpj001,571974,murphjr01,10346,
Nick Heath,heatn002,670084,heathni01,19577,
Jon Jay,jay-j001,445055,jayjo02,5227,
Scott Heineman,heins001,595981,heinesc01,14453,
Eric Sogard,sogae001,519299,sogarer01,7927,
Dexter Fowler,fowld001,451594,fowlede01,4062,
Terrin Vavra,vavrt001,679631,vavrate01,24400,
Conner Capel,capec001,668843,capelco01,19983,
Cole Young,younc005,702284,youngco01,31680,
J C Escarra,escaj001,641555,escarjc01,20084,
Anthony Seigler,seiga001,678011,seiglan01,23802,
Jakob Marsee,marsj002,805300,marseja01,31370,
Weston Wilson,wilsw002,642215,wilsowe01,19358,
Carson Williams,willc002,700246,willica02,30038,
Gabriel Guerrero,guerg001,602115,guerrga01,14528,
Gregor Blanco,blang001,453923,blancgr01,3123,
JD Davis,davij006,605204,davisjd01,16219,
Matt Joyce,joycm001,459964,joycema01,3353,
Lucas Duda,dudal001,446263,dudalu01,2502,
Garrett Cooper,coopg002,643265,coopega03,15279,
Wade Meckler,meckw001,685133,mecklwa01,31490,
Jonathan India,indij001,663697,indiajo01,21523,
Carter Jensen,jensc001,695600,jenseca01,29478,
Niko Goodrum,goodn002,592348,goodrni01,12092,
Shohei Ohtani,ohtas001,660271,ohtansh01,19755,
Stephen Piscotty,piscs001,572039,piscost01,13367,
Tony Cruz,cruzt002,488810,cruzto03,2802,
Pedro Florimon,florp001,465753,floripe01,8385,
Denard Span,spand001,452655,spande01,8347,
Dylan Cozens,cozed001,622226,cozendy01,15115,
Robert Stephenson,stepr002,596112,stephro01,13594,
Franmil Reyes,reyef001,614177,reyesfr01,14566,
Corban Joseph,josec001,543377,josepco01,5503,
Bubba Starling,starb001,605490,starlbu01,13356,
Andy Young,youna003,670370,youngan02,19521,
Max Schrock,schrm001,621011,schroma01,17750,
DJ Peters,peted004,656847,peterdj01,19348,
Trey Amburgey,ambut001,664011,amburtr01,18425,
Greg Deichmann,deicg001,656364,deichgr01,19872,
Juan Yepez,yepej001,660766,yepezju01,18400,
Fernando Tatis,tatif002,665487,tatisfe02,19709,
Bobby Witt,wittb002,677951,wittbo02,25764,
Ty Kelly,kellt001,571841,kellyty01,7740,
Eric Hosmer,hosme001,543333,hosmeer01,3516,
Canaan Smith-Njigba,smitc008,675986,smithca05,23264,
JJ Matijevic,matij001,656695,matijjj01,20165,
Miguel Gomez,gomem002,622497,gomezmi01,17075,
Wander Franco,franw002,677551,francwa01,23667,
George Springer,sprig001,543807,springe01,12856,
Joey Meneses,menej001,608841,menesjo01,14366,
Josh Donaldson,donaj001,518626,donaljo02,5038,
Gregory Polanco,polag001,570256,polangr01,12907,
Brandon Phillips,philb001,408252,phillbr01,791,
Matt Davidson,davim005,571602,davidma02,7226,
Jed Lowrie,lowrj001,476704,lowrije01,4418,
Charlie Blackmon,blacc001,453568,blackch02,7859,
Colby Thomas,thomc005,687515,thomaco03,31855,
Bryce Eldridge,eldrb002,805811,eldribr01,33390,
Joe Mauer,mauej001,408045,mauerjo01,1857,
Martin Perez,perem004,527048,perezma02,6902,
Jean Carlos Mejia,mejij002,650496,mejiaje02,20617,
Domingo German,germd001,593334,germado01,17149,
Lucas Giolito,gioll001,608337,giolilu01,15474,
Jose Berrios,berrj001,621244,berrijo01,14168,
Tarik Skubal,skubt001,669373,skubata01,22267,
Kohei Arihara,arihk001,685503,arihako01,27505,
Cory Abbott,abboc001,676265,abbotco01,20277,
Tyler Gentry,gentt001,694355,gentrty01,27784,
Joe Dunand,dunaj001,656388,dunanjo01,19727,
Jaime Barria,barrj003,642545,barrija01,18356,
Ian Kennedy,kenni001,453178,kenneia01,6986,
Luiz Gohara,gohal001,627894,goharlu01,15166,
Bartolo Colon,colob001,112526,colonba01,375,
Rookie Davis,davir004,606959,davisro03,14962,
Noe Ramirez,ramin002,598287,ramirno01,12800,
Blake Trahan,trahb001,664167,trahabl01,17588,
Packy Naughton,naugp001,676050,naughpa01,23292,
Hunter Owen,owenh003,670462,owenhu01,20034,
Chris Devenski,devec001,606965,devench02,12763,
Cory Gearrin,gearc001,518715,gearrco01,7947,
Drew VerHagen,verhd001,572403,verhadr01,13424,
Brock Burke,burkb001,656271,burkebr01,17968,
Luke Bard,bardl001,572703,bardlu01,14288,
Anthony Kay,kay-a001,641743,kayan01,20387,
Travis Lakins,lakit001,664042,lakintr01,18600,
Cody Stashak,stasc001,664054,stashco01,18088,
Brady Singer,singb001,663903,singebr01,25377,
Josh Lindblom,lindj004,458676,lindbjo01,7882,
Michael King,kingm002,650633,kingmi01,19853,
Jimmy Herget,hergj001,623474,hergeji01,17556,
Tyler Wells,wellt003,669330,wellsty01,20000,
Mark Leiter,leitm002,643410,leitema02,15551,
Jonathon Feyereisen,feyej001,656420,feyerjo01,16610,
Chris Ellis,ellic001,595939,ellisch01,16125,
Jimmy Lambert,lambj003,669424,lambeji01,19541,
Jordan Hicks,hickj002,663855,hicksjo03,19618,
Luis Gil,gil-l001,661563,gillu01,21052,
Chase Silseth,silsc001,681217,silsech01,30074,
Jhonathan Diaz,diazj007,646242,diazjh01,20298,
Alex Faedo,faeda001,656412,faedoal01,19874,
Kenny Rosenberg,rosek001,670046,rosenke01,20009,
Garrett Hill,hillg002,682051,hillga02,25097,
Bryan Shaw,shawb001,543766,shawbr01,8110,
Austin Cox,cox-a001,680735,coxau01,24604,
Xzavion Curry,currx001,675540,curryxz01,25595,
Allan Winans,winaa001,642216,winanal01,21238,
Joe Mantiply,mantj002,573009,mantijo01,14857,
Reese Olson,olsor001,681857,olsonre01,24968,
Scott McGough,mcgos001,543518,mcgousc01,12056,
Jordan Wicks,wickj001,696136,wicksjo01,30094,
Jared Shuster,shusj001,694363,shustja01,27472,
Collin Snider,snidc001,676092,snideco01,23307,
Keaton Winn,winnk001,676775,winnke01,23499,
Bryce Jarvis,jarvb001,686826,jarvibr01,27477,
Emilio Pagan,pagae001,641941,paganem01,14771,
Michael Plassmeyer,plasm001,674681,plassmi01,23191,
Mitchell Parker,parkm001,680730,parkemi01,27636,
AJ Smith-Shawver,smita001,700363,smithaj01,29960,
Hurston Waldrep,waldh001,694462,waldrhu01,33527,
Carmen Mlodzinski,mlodc001,669387,mlodzca01,27572,
David Festa,festd001,701581,festada01,30056,
Mike Wright,wrigm001,605541,wrighmi01,12586,
John Lamb,lambj002,543424,lambjo02,8493,
John Axford,axfoj001,446099,axforjo01,9059,
Brandon Kintzler,kintb001,445213,kintzbr01,9939,
Zac Lowther,lowtz001,675912,lowthza01,20243,
Joel Payamps,payaj001,606303,payamjo01,14332,
James Conner Greene,greec004,641632,greenco01,16455,
Trevor May,may-t001,543507,maytr01,6398,
Gerson Bautista,bautg001,639373,bautige01,19256,
Drey Jameson,jamed003,686753,jamesdr01,26260,
Tyson Miller,millt003,668338,millety01,19976,
Tanner Gordon,gordt002,685299,gordota01,27669,
Ryan Brasier,brasr001,518489,brasiry01,5615,
Jackson Jobe,jobej001,695549,jobeja01,30203,
Tom Harrington,harrt002,802419,harrito03,31989,
Connor Gillispie,gillc003,687362,gillico01,26171,
Chad Patrick,patrc001,694477,patrich01,30113,
Justin Topa,topaj001,623437,topaju01,15145,
Logan Henderson,hendl002,701656,hendelo01,31475,
Casey Legumina,leguc001,668984,legumca01,25921,
Brandon Walter,waltb002,687888,waltebr01,26056,
Ryan Gusto,gustr001,687473,gustory01,26440,
Troy Melton,meltt001,675512,meltotr01,31807,
Carson Whisenhunt,whisc001,687931,whiseca01,31676,
Travis Adams,adamt002,701519,adamstr01,30180,
Reed Garrett,garrr001,657585,garrere01,16866,
David Morgan,morgd001,688158,morgada01,31616,
Payton Tolle,tollp001,801139,tollepa01,35466,
Kirk McCarty,mccak003,668948,mccarki01,20555,
Daniel Coulombe,could001,543056,couloda01,13293,
Jim Johnson,johnj010,462382,johnsji04,3656,
Justin Sterner,sterj001,686993,sternju01,27694,
Elvis Peguero,pegue001,665625,pegueel01,21652,
Doug Nikhazy,nikhd001,680951,nikhado01,30142,
Steven Wilson,wilss002,621051,wilsost02,20353,
Levi Stoudt,stoul001,686651,stoudle01,25650,
Kaleb Ort,ort-k001,672391,ortka01,20061,
Ryan Ward,,669899,,27449,
Riley Martin,,702303,,29934,
Noah Schultz,,702273,,32056,
Zach Pop,,647315,,20185,
Juan Mejia,,675848,,23237,
PJ Poulin,,676571,,23394,
Orlando Arcia,arcio002,606115,arciaor01,13185,
Akil Baddoo,badda001,668731,baddoak01,22168,
Andrew Velazquez,velaa001,623205,velazan01,14196,
Reese McGuire,mcgur002,624512,mcguire01,15674,
